Rk,Team,Overall,url
1,Houston Rockets,65-17,HOU
2,Toronto Raptors,59-23,TOR
3,Golden State Warriors,58-24,GSW
4,Boston Celtics,55-27,BOS
5,Philadelphia 76ers,52-30,PHI
6,Cleveland Cavaliers,50-32,CLE
7,Portland Trail Blazers,49-33,POR
8,Indiana Pacers,48-34,IND
9,New Orleans Pelicans,48-34,NOP
10,Oklahoma City Thunder,48-34,OKC
11,Utah Jazz,48-34,UTA
12,Minnesota Timberwolves,47-35,MIN
13,San Antonio Spurs,47-35,SAS
14,Denver Nuggets,46-36,DEN
15,Miami Heat,44-38,MIA
16,Milwaukee Bucks,44-38,MIL
17,Washington Wizards,43-39,WAS
18,Los Angeles Clippers,42-40,LAC
19,Detroit Pistons,39-43,DET
20,Charlotte Hornets,36-46,CHO
21,Los Angeles Lakers,35-47,LAL
22,New York Knicks,29-53,NYK
23,Brooklyn Nets,28-54,BRK
24,Chicago Bulls,27-55,CHI
25,Sacramento Kings,27-55,SAC
26,Orlando Magic,25-57,ORL
27,Atlanta Hawks,24-58,ATL
28,Dallas Mavericks,24-58,DAL
29,Memphis Grizzlies,22-60,MEM
30,Phoenix Suns,21-61,PHO
